source	target
The discovery has not been tested, but extensive data collection and sampling have been carried out.	Funnet er ikke testet, men det er utført omfattende datainnsamling og prøvetaking.
The well was drilled to a vertical depth of 1856 meters below the sea surface and concluded in bedrock.	Brønnen ble boret til et vertikalt dyp på 1856 meter under havflaten og avsluttet i grunnfjell.
The well was drilled about 35 kilometers southwest of Balder with the semi-submersible drilling installation Deepsea Delta in a sea depth of 112 m to a depth of 3156 m under the sea surface.	Brønnen ble boret om lag 35 kilometer sørvest av Balder med den halvt nedsenkbare boreinnretningen Deepsea Delta på 112 m vanndyp og til et dyp av 3156 m under havflaten.
Topics: Seismic	Tema: Seismikk
August 2008	August 2008
The requirements call for submission of just one-quarter longitudinal section from exploration wells, and one-half longitudinal section from production wells.	Kun et kvart lengdesnitt fra letebrønner, og et halvt lengdesnitt fra produksjonsbrønner er leveringspliktig.
In the secondary target, oil was encountered in thin sand layers in the Lysing formation and the middle part of the Lange formation.	I sekundært mål ble det påtruffet olje i tynne sandlag i Lysingformasjonen og i midtre del av Langeformasjonen.
Well 7120/6-3 S will be drilled from the Transocean Arctic drilling facility at position 71 41` 02.43" north and 20 43´ 16.97" east.	Brønn 7120/6-3 S skal borast frå boreinnretninga Transocean Arctic i posisjon 71 41` 02,43" nord og 20 43´ 16,97" aust.
Final production figures from October 2015 show an average daily production of about 1.640 million barrels of oil, 0.382 million barrels of NGL and condensate and a total of 10.8 billion Sm3 saleable gas production.	Endelege produksjonstal for oktober 2015 viser ein gjennomsnittleg dagsproduksjon på om lag 1,640 millionar fat olje, 0,382 millionar fat NGL og kondensat og totalt 10,8 GSm3 gass for sal.
The ultimate goal is to achieve the greatest possible values for society from the oil and gas activities through prudent resource management based on high standards for safety, emergency preparedness and the external environment.	Det overordnede målet er å få størst mulig verdier for samfunnet fra olje- og gassvirksomheten gjennom en forsvarlig ressursforvaltning med forankring i sikkerhet, beredskap og ytre miljø.
The drilling programme for wellbore 6407/8-4 S relates to the drilling of an exploration well in production licence 348.	Boreprogrammet for brønnbane 6407/8-4S gjelder boring av letebrønn i utvinningstillatelse 348.
Wells 16/1-16 and 16/1-16 A were drilled to a vertical depth of 2722 and 2683 metres below sea level, respectively, and were terminated in the Rotliegende group in the Permian and the Skagerrak formation in the Triassic.	Brønnene 16/1-16 og 16/1-16 A ble boret til et vertikalt dyp på henholdsvis 2722 og 2683 meter under havflaten og ble avsluttet i Rotliegendesgruppen i perm og i Skagerrakformasjonen i trias.
The only certainty is that the world will change.	Det eneste som er helt sikkert, er at omgivelsene og verden forandrer seg.
Non-mobile petroleum was encountered at this reservoir level.	Det ble påtruffet ikke bevegelig petroleum i dette reservoarnivået.
29 companies received offers for participation in 24 new production licences.	29 selskap fikk tilbod om deltaking i 24 nye utvinningsløyve.
Ekofisk, Eldfisk and Ula all have long expected remaining lives.	Både Ekofisk, Eldfisk og Ula har forventet gjenværende, lang levetid.
Seismic packages from these areas were offered for sale earlier this year.	Seismikkpakker fra disse områdene ble lagt ut for salg tidligere i år.
The reservoir rock was considerably thinner than expected.	Reservoarbergarten var betydelig tynnere enn forventet.
(MSm3 o.e.), broken down as follows: about 8.3 MSm3 o.e. of oil, about 1.7 MSm3 o.e. of NGL and condensate and about 11.2 MSm3 o.e. of gas for sale.	Dette er fordelt slik: olje om lag 8,3 MSm3 o.e, NGL og kondensat om lag 1,7 MSm3 o.e, sal av gass om lag 11,2 MSm3 o.e.
The objective of the well was to prove petroleum in Upper Jurassic reservoir rocks (the Ula formation) in a new segment south of the 8/10-4 S (Butch) oil discovery, proven in 2011.	Hensikten med brønnen var å påvise petroleum i øvre jura reservoarbergarter (Ulaformasjonen) i et nytt segment sør for oljefunnet 8/10-4 S (Butch) påvist i 2011.
The secondary target was to delineate the eastern extent of the 16/1-9 Ivar Aasen oil discovery in Middle Jurassic to Upper Triassic reservoir rocks (Hugin and Skagerrak formations), as well as to investigate Palaeocene (Heimdal formation) and Permian (Zechstein group) reservoir formations.	Sekundære mål var å avgrense oljefunnet 16/1-9 Ivar Aasens østlige utstrekning i midtre jura til øvre trias reservoarbergarter (Hugin- og Skagerrakformasjonene), samt å undersøke reservoarbergarter i paleocen (Heimdalformasjonen) og perm (Zechsteingruppen).
Wells 6407/8-6 and 6407/8-6 A were drilled by the Songa Trym drilling facility, which will now proceed to production licence 248 in the North Sea to drill wildcat well 35/11-16, where Statoil Petroleum AS is the operator.	Brønnene 6407/8-6 og 6407/8-6 A ble boret av boreinnretningen Songa Trym som nå skal til utvinningstillatelse 248 i Nordsjøen for å bore undersøkelsesbrønn 35/11-16 der Statoil Petroleum AS er operatør.
Production from the Draugen field was reduced in February due to freezing problems.	Produksjonen frå Draugenfeltet var redusert i februar på grunn av problem med kulde.
The final report from the project will be submitted to the Norwegian Petroleum Directorate no later than 1 March 2010.	Endelig rapport fra prosjektet skal leveres Oljedirektoratet senest 1. mars 2010.
4.3 Development and operations The Norwegian Petroleum Directorate shall contribute to cost-effective production of petroleum, exploitation of infrastructure and coordination across licence boundaries, etc.	4.3 Utbygging og drift Oljedirektoratet skal bidra til kostnadseffektivt uttak av petroleum, utnyttelse av infrastruktur og samordning på tvers av utvinningstillatelser mv.
Remember to pick up a copy of the NPD’s new shelf map; we are handing out 10 000 copies throughout the week at ONS.	Husk å ta med deg et eksemplar av ODs nye sokkelkart, 10.000 eksemplarer skal ut i løpet av ONS-uka.
The purpose of the well was to prove petroleum in reservoir rocks from the Middle Jurassic (the Hugin formation).	Hensikten med brønnen var å påvise petroleum i midtre jura reservoarbergarter (Huginformasjonen).
Since its southern area was opened for exploration by the Storting (parliament) in 1979, only 61 wells have been drilled.	Siden Stortinget i 1979 åpnet opp for leteaktivitet i sørlige del av Barentshavet, er det bare boret 61 letebrønner.
A successful formation test was performed.	En vellykket formasjonstest er gjennomført.
The objective of the well was to delineate the 7220/8-1 gas/oil discovery.	Hensikten med brønnen var å avgrense gass-/oljefunnet 7220/8-1.
The licensees in PL 128 are: Statoil ASA (operator) 50,45 % Petoro AS 24,55 % Norsk Hydro Produksjon AS 13,50 % Eni Norge AS 11,50 %	Rettighetshaverne i utvinningstillatelse 128 er: Statoil ASA (operatør): 50.45 % Petoro AS: 24.55 % Norsk Hydro Produksjon ASA: 13.50 % ENI Norge AS: 11.50 %
In the secondary target, reservoir rocks were encountered in the Sognefjord, Fensfjord, Krossfjord formations and the Brent Group.	I sekundært mål ble det påtruffet reservoarbergarter i Sognefjord-, Fensfjord-, Krossfjordformasjon og Brentgruppen.
The total production so far is about 85.9 million Sm3 o.e.	Den totale petroleumsproduksjonen dei fire første månadene i år er om lag 85,9 millionar Sm3 o.e.
The oil from Oda will be transported via Ekofisk to the Teesside terminal in the UK.	Oljen fra Oda skal transporteres via Ekofisk til Teesside-terminalen i Storbritannia.
The area in this permit consists of parts of block 3/7 in the far south of the North Sea.	Arealet i denne tillatelsen består av deler av blokk 3/7 helt sør i Nordsjøen.
Licensees in PL 268: Norske Conoco AS (operator): 40% Norske Chevron AS: 30% Fortum Petroleum AS: 30%	Rettighetshavere i utvinningstillatelse 268: Norske Conoco AS (operatøt): 40% Norske Chevron AS: 30% Fortum Petroleum AS: 30%
The area in the licence consists of parts of block 15/12 and the whole of block 6/3.	Arealet i tillatelsen består av deler av blokk 15/12 og hele blokk 6/3.
Total gas sales were 6.4 billion Sm3 (GSm3), which is a decrease of 1.6 GSM3 from the previous month.	Det totale gass salet var 6,4 milliardar standard kubikkmeter (GSm3), dette er 1,6 GSm3 mindre enn månaden før.
The course will conclude with a knowledge test with the grades passed/failed.	Kurset avsluttes med en kunnskapstest med bestått/ikke bestått.
The area in this licence consists of parts of the 7217/12, 7218/10 and 7218/11 blocks.	Arealet i dette løyvet består av blokkene 7217/12, 7218/10 og 7218/11.
This is the fifth exploration well in production licence 532.	Dette er den femte letebrønnen i utvinningstillatelse 532.
The reservoir is from the Late Jurassic and is located directly on the basement rock.	Reservoaret er av senjura alder og ligger direkte på grunnfjell.
StatoilHydro is the operator with a 45 per cent ownership interest.	Hydro er operatør med 45 prosent eierandel.
Preliminary production figures from the Norwegian continental shelf, June 2003	Førebels produksjonstal frå norsk kontinentalsokkel, juni 2003
Part of the building’s decoration is a 70 meters long poster showing the earth’s geological history	Byggets utsmykning viser blant annet jordens geologiske historie i en 70 meter lang veggplakat.
Reservoir rocks in the Stø formation were aquiferous.	Reservoarbergarter i Støformasjonen var vannførende.
The preliminary calculation of the size of the discovery is still between 10 and 23 million Sm3 recoverable oil and between 8 and 15 billion Sm3 recoverable gas.	Foreløpig beregning av størrelsen på funnet er fortsatt mellom 10 og 23 millioner Sm3 utvinnbar olje og mellom 8 og 15 milliarder Sm3 utvinnbar gass.
Several new players with new ideas and new exploration targets have yielded a number of new discoveries in mature areas of the Norwegian shelf.	Fleire nye aktørar med nye idear og nye leitemål har gitt fleire nye funn i modne delar av norsk sokkel.
Multiple re-use methods are used to produce remaining resources; here it is important for decisions concerning potential plugging to be well-reasoned and long-term.	Det er flere metoder for gjenbruk som benyttes for å produsere gjenværende ressurser, der er det viktig at beslutninger om eventuell plugging er veloverveide og langsiktige.
Appraisal well 2/4-21 A was drilled to a vertical depth of 5237 metres below the sea surface.	Avgrensningsbrønn 2/4-21 A ble boret til et vertikalt dyp av 5237 meter under havflaten.
The area in this licence is comprised of the blocks 7223/3, 7223/6, 7224/1, 7224/2, 7224/3, 7224/4 and 7224/5.	Arealet i dette løyvet består av blokkene 7223/3, 7223/6, 7224/1, 7224/2, 7224/3, 7224/4 og 7224/5.
6603/5-1 S was drilled to a vertical depth of 5028 metres below the sea surface and a measured depth of 5214 metres below the sea surface, and was terminated in Cromer Knoll group in the Lower Cretaceous.	6603/5-1 S ble boret til et vertikalt dyp og målt dyp av hhv 5028 og 5214 meter under havflaten og ble avsluttet i Cromer Knoll gruppen i nedre kritt.
The drilling program for wellbore 6608/10-14 S relates to the drilling of a wildcat well in production licence 128.	Boreprogrammet for brønnbane 6608/10-14 S gjelder boring av en undersøkelsesbrønn i utvinningstillatelse 128.
The water depth is 348 metres.	Havdypet er 348 meter.
A mapping of the strains concrete substructures were exposed to when they were joined with the decks and installed on the fields will be included in the calculation of how much strain the substructures can withstand.	I beregningen av hvor mye belastning betongunderstellene vil tåle, inngår også en kartlegging av påkjenningene de ble utsatt for da de ble koplet sammen med dekkene og installert på feltene.
Annual report 2001	Årsberetning 2001
The next year, the development plan was approved, without oil production.	Året etter ble utbyggingsplanen godkjent – uten oljeutvinning.
Appraisal well 34/3-3 A was drilled to a vertical depth of 3944 metres below the sea surface.	Avgrensningsbrønn 34/3-3 A ble boret til et vertikal dyp av 3944 meter under havoverflaten.
The wells were not formation-tested, but extensive data acquisition and sampling were carried out.	Brønnene ble ikke formasjonstestet, men det er utført omfattende datainnsamling og prøvetaking.
All operators on the Norwegian continental shelf report discharge/emission data directly into this database.	Alle operatører på norsk kontinentalsokkel rapporterer utslippsdata direkte inn i denne databasen.
The app was developed in collaboration with the Applaud company.	App-en utvikles i samarbeid med selskapet Applaud.
The other licensees are StatoilHydro Petroleum AS with an ownership interest of 30 per cent, Wintershall Norge AS with 25 per cent and DONG E&P with 10 per cent.	Øvrige rettighetshavere er StatoilHydro Petroleum AS med en eierandel på 30 prosent, Wintershall Norge AS med en eierandel på 25 prosent og Dong E&P Norge med en eierandel på 10 prosent.
Operation of turbines is still the largest source of emissions.	Turbindrift er fremdeles den største utslippskilden.
Production from the Tyrihans field started on July the 8th.	Produksjonen frå Tyrihans feltet starta 8 Juli.
The well will be drilled about 85 kilometres north of Berlevåg in Finnmark.	Brønnen blir bora om lag 85 kilometer nord for Berlevåg i Finnmark.
Johan Castberg in the Barents Sea was proven in 2011.	Johan Castberg i Barentshavet ble påvist i 2011.
Of this, 18 136 km2 was awarded in early 2014.	Av dette ble 18 136 km2 tildelt tidlig i 2014.
For more information, see the Ministry of Petroleum and Energy’s website >>	For meir informasjon, sjå Olje- og energidepartementet sin nettstad >>
In addition to measuring the thickness of the sea ice, the Sabvabaa will acquire seismic data and take geological samples from the seabed.	I tillegg til å måle tykkelsen på havisen, skal Sabvabaa samle inn seismiske data og ta geologiske prøver av havbunnen.
The production licence consists of part of block 6506/12.	Utvinningstillatelsen består av en del av blokken 6506/12.
The NPD employs a method called play analysis to calculate the volume of undiscovered resources on the Norwegian shelf.	Letemodellanalyse er en metode OD bruker for å regne ut volumet på uoppdagende ressurser på norsk sokkel.
Preliminary calculations show that the results from the well may result in an increase of between 1 and 8 million standard cubic metres recoverable oil in this section of the Edvard Grieg field.	Foreløpige beregninger viser at resultatene fra brønnen kan føre til en økning på mellom 1 og 8 millioner standard kubikkmeter (Sm3) utvinnbar olje i denne delen av Edvard Grieg-feltet.
Topics: Seismic | Geology	Tema: Seismikk | Geologi
Johan Sverdrup is the sixth field on the Norwegian continental shelf that will have power from shore.	Johan Sverdrup er det sjette feltet på norsk kontinentalsokkel hvor det skal overføres kraft fra land.
The original scheme had an acceptance deadline on 12 June.	Den opprinnelige frikjøpsordningen hadde akseptfrist den 12. juni.
Understanding how injection of seawater works both at a microscopic level and on a larger scale has posed a challenge to researchers for several decades.	Det å forstå korleis injeksjon av sjøvatn fungerer på både mikroskopisk nivå og i større skala har vore ei utfordring for forskarar i fleire tiår.
Relevant news article:	Relevant nyhetsaktikkel:
The maximum permitted oil content in water discharged from the installations on the Norwegian Shelf is 30 milligrams per litre.	Maksimum tillatt oljeinnhold i vann som slippes ut fra installasjonene på norsk sokkel er 30 milligram per liter.
Rocks of considerable thickness and satisfactory reservoir quality were encountered in the Tilje formation from the Early Jurassic.	Det ble påtruffet bergarter med betydelig mektighet og tilfredsstillende reservoarkvalitet i Tiljeformasjonen fra tidligjura.
A 38-metre gross oil column was encountered in the Fensfjord formation, 20 metres of which has good reservoir quality.	I Fensfjordformasjonen ble en brutto oljekolonne på 38 meter påtruffet, hvorav 20 meter av god reservoarkvalitet.
The project group has estimated the size of the existing storage space, as well as the future needs.	Prosjektgruppa har rekna på kor stor lagringsplass som finst, og kor stort behovet vil vere.
The well will be drilled about five kilometres north of the Norne field.	Brønnen blir bora om lag fem kilometer nord for Norne-feltet.
The well, 16/3-6, was drilled on the east flank of the discovery, 5.1 kilometres southeast of the discovery well 16/2-6 and about 1.9 kilometres north of well 16/3-4 and 3.3 kilometres southeast of well 16/2-13S.	Brønnen 16/3-6 ble boret på østflanken av funnet, 5,1 kilometer sørøst for funnbrønnen 16/2-6 og om lag 1,9 kilometer nord for brønn 16/3-4 og 3,3 kilometer sørøst for brønn 16/2-13S.
A new study will look into the benefits and disadvantages of wellhead platforms.	En ny studie skal belyse fordeler og ulemper med brønnhodeplattformer.
Fishery experts play a key role when a seismic vessel moves into areas where fishing activity is in progress,” says the NPD's Jan Stenløkk, who has participated in organizing this course.	Fiskerikyndig har en nøkkelrolle når et seismikkfartøy beveger seg inn i områder hvor det pågår fiske,” sier Jan Stenløkk i Oljedirektoratet, som har vært med på å legge opp kurset.
The well was drilled to a vertical depth of 3217 metres below the sea surface and terminated in Lower Jurassic reservoir rocks (Cook formation).	Brønnen ble boret til et vertikalt dyp av 3217 meter under havflaten og ble avsluttet i undre jura reservoarbergarter (Cookformasjon).
Faroe Petroleum Norge AS is the operator with an ownership interest of 50 per cent.	Faroe Petroleum Norge AS er operatør med ein del på 50 prosent.
The oil/water contact was encountered at 1922 metres below sea level.	Olje/vann-kontakt ble påtruffet på 1922 meter under havnivå.
Proposals for candidates – with a brief explanation and contact person – can be submitted by e-mail to IOR-Award@npd.no.	Forslag til kandidater – med en kort begrunnelse og kontaktperson – kan sendes til epostadressen IOR-Award@npd.no.
Well 35/8-6 A encountered a three-metre oil column in the Heather formation with poor reservoir quality.	Brønn 35/8-6 A påtraff en tre meter oljekolonne i Heatherformasjonen med dårlig reservoarkvalitet.
More employees with a foreign background will reflect the diversity of Norway today, provide new impulses and contribute to develop the NPD as an organisation.	Flere ansatte med utenlandsk bakgrunn vil speile mangfoldet i Norge, gi nye impulser og bidra til å utvikle OD som organisasjon.
The purpose of the well was to prove petroleum in the middle to lower Jurassic reservoir rock in the southern segment of a prospect called Galtvort.	Hensikten med brønnen var å påvise petroleum i midtre til nedre jura reservoarbergarter i det sørlige segmentet i et prospekt kalt Galtvort.
The preliminary estimate of the size of the discovery is between 1.5 and 3 million Sm3 of recoverable oil equivalents.	Foreløpig beregning av størrelsen på funnet er mellom 1,5 og 3 millioner Sm3 utvinnbare oljeekvivalenter.
The test yielded a maximum rate of approx. 800 standard cubic metres (Sm3) of oil per flow day through a 52/64-inch nozzle opening.	Denne ga en maksimumsrate på om lag 800 standard kubikkmeter (Sm3) olje per strømningsdøgn gjennom en 52/64 tommers dyseåpning.
Eva Halland, who headed the work on making the atlas, says that the interest in the atlas has been significant, particularly among oil companies, authorities and in the academic community.	Eva Halland, som ledet arbeidet med å lage atlaset, forteller at interessen for atlaset har vært stor, særlig blant oljeselskaper og myndigheter og i akademia.
This is 0.5 million Sm3 o.e. lower than during November 2005.	Dette er 0,5 millioner Sm3 o.e. lavere enn produksjonen i same månad i fjor.
Link to the report >>	Lenke til rapport >>
Contacts in the NPD Eldbjørg Vaage Melberg, tel.	Kontaktpersoner i Oljedirektoratet Eldbjørg Vaage Melberg, tlf.
Investments The high price of oil in 2008 led to a considerable increase in both activity and cost levels on the Norwegian shelf.	Investeringer Høy oljepris førte i 2008 til en betydelig økning i aktivitets- og kostnadsnivået på norsk sokkel.
The wells will be drilled about four kilometres west of the Hyme field and 16 kilometres northeast of the Njord field.	Brønnane blir bora om lag fire kilometer vest for Hymefeltet og 16 kilometer nordaust for Njordfeltet.
The prognosis for the next five years shows that CO2 emissions will stabilise around the 2015 level, even as several new fields start production.	Prognose for de neste fem årene viser at CO2-utslippene stabiliseres rundt 2015-nivået, selv om flere nye felt skal settes i produksjon.
“We expect gas sales to remain at about the same level as in 2010, or maybe higher.	"Vi forventer at gassalget i år vil ligge noe høyere enn i 2010, som var et toppår.
This analysis involves estimating how much petroleum can be proven and produced from each play, utilising statistical methods to give an overall figure for a wide area.	Letemodellanalyse går ut på å anslå hvor mye petroleum som kan påvises og produseres fra hver letemodell.
Maersk Oil Norway AS is the other licensee, with an ownership interest of 40 per cent.	Rettighetshaver er Maersk Oil Norway AS med en andel på 40 prosent.
Oil reserves increased last year by 29 million Sm3.	Det siste året var tilvekst i oljereserver 29 millioner Sm3.
Discharges of cuttings and water-based drilling fluid result in a physical build-up of sludge on the seabed, but the effects are limited both in area and duration.	Utslipp av borekaks og vannbasert borevæske gir fysisk nedslamming på havbunnen, men effekten er av begrenset omfang, både i areal og varighet.
The area in the production licence consists of parts of blocks 16/2, 3, 5 and 6.	Arealet i dette løyvet består av delar av blokkene 16/2, 3, 5 og 6.
The drilling program for wellbore 2/4-21 applies to drilling of a wildcat well in production licence 146.	Boreprogrammet for brønn 2/4-21 gjeld boring av ein undersøkingsbrønn i utvinningsløyve 146.
"This means that a deviation of just a half percentage point would constitute enormous values," says Torkildsen.	- Det betyr at et avvik på eksempelvis et halvt prosentpoeng utgjør enorme verdier, sier Torkildsen.
Well 8/10-4 S has not been formation-tested, but extensive data acquisition and sampling have taken place.	Brønn 8/10-4 S er ikke formasjonstestet, men det er utført omfattende datainnsamling og prøvetaking.
Preliminary results from the well testing are positive.	Foreløpige resultater fra brønntesten er positive.
Four exploration wells have previously been drilled in the acreage included in the permit.	Det er tidligere boret fire undersøkelsesbrønner i arealet som omfattes av tillatelsen.
This can be accessed via the authorities’ websites and databases.	Disse er tilgjengelig fra myndighetenes nettsteder og databaser.
The 16/4-9 S well was drilled by the Bredford Dolphin drilling facility, which will now drill wildcat well 6306/5-2 in production licence 642 in the Norwegian Sea, where Repsol Exploration Norge AS is the operator.	Brønnen 16/4-9 S ble boret av boreinnretningen Bredford Dolphin som nå skal bore undersøkelsesbrønn 6306/5-2 i undersøkelsestillatelse 642 i Norskehavet, der Repsol Exploration Norge AS er operatør.
The drilling programme for well 7225/3-2 relates to drilling of an appraisal well in production licence 535.	Boreprogrammet for brønn 7225/3-2 gjeld boring av en avgrensingsbrønn i utvinningsløyve 535.
The secondary exploration target was to prove petroleum in reservoir rocks from the Early Cretaceous Age (the Lange formation) and Early Jurassic Age (the Tilje formation).	Sekundære letemål var å påvise petroleum i reservoarbergarter av tidligkritt alder (Langeformasjonen) og tidligjura alder (Tiljeformasjonen).
Information about available courses can be obtained by ringing Aase Moe in the NPD, telephone +47 51 87 64 77.	Informasjon om ledige kursplasser kan fås ved å kontakte Oljedirektoratet v/Aase Moe på telefon 51 87 64 77.
iPhone has version 2.0.8	iPhone har versjon 2.0.8
“We have been producing oil and gas in Norway for nearly 50 years and we are still not halfway done.	«I Norge har vi produsert olje og gass i snart 50 år og vi er fortsatt ikke halvveis.
16/1-19 S was terminated in basement rocks, while 16/1-20 A was terminated in the Skagerrak formation in the Upper Triassic.	16/1-19 S ble avsluttet i grunnfjell, mens 16/1-20 A ble avsluttet i Skagerrakformasjonen i øvre trias.
And the activity level has been rising in recent years:	Og engasjementet har vært økende de siste årene:
Trust Artikugol encountered hydrocarbons - and problems.	Resultatene skuffet - med bare små mengder gass og olje.
The production from the Skuld field started in March.	Skuld starta produksjon i mars
This is the fifth exploration well in production licence 378.	Dette er den femte letebrønnen i utvinningstillatelse 378.
The total production is about 197.9 million Sm3 o.e.	Den totale petroleumsproduksjonen dei ti første månadene i år er om lag 197,9 millionar Sm3 o.e.
Contact in the NPD: Eldbjørg Vaage Melberg, +47 51 87 61 00	Kontakt i OD: Eldbjørg Vaage Melberg, 51 87 61 00
Well 7122/10-1 S was drilled to vertical depth and measured depths of 1298 metres and 1491 metres below the sea surface, respectively, and the well was terminated in the Kobbe formation in the Middle Triassic.	Brønn 7122/10-1 S ble boret til et vertikalt dyp og målt dyp av henholdsvis 1298 meter og 1491 meter under havflaten, og ble avsluttet i Kobbeformasjonen i midtre trias.
About 21 terawatt-hours of electric power are produced on the shelf.	Det blir produsert omtrent 21 terawattimer elektrisk kraft på sokkelen.
The discovery is estimated to contain approximately 28.1 million standard cubic meters of oil equivalent, mostly oil, but also some associated gas and natural gas liquid (NGL).	Funnet er estimert til å innehalde rundt 28,1 millionar standard kubikkmeter oljeekvivalentar, for det meste olje med noko assosiert gass og våtgass (NGL).
Licensees in production license 281:	Rettighetshavere i utvinningstillatelse 281:
Jan-Aug 2009	Jan-aug 2009
The reservoir, with high pressure and high temperature, is located at a depth of more than 4000 metres and consists of sandstone in Middle Jurassic reservoir rocks in the Brent group and Lower Jurassic reservoir rocks in the Cook formation.	Reservoaret, som har høyt trykk og høy temperatur, ligger på over 4000 meter dyp og består av sandstein i midtre jura reservoarbergarter i Brentgruppen og nedre jura reservoarbergarter i Cookformasjonen.
(MSm3 o.e.), broken down as follows: about 84.9 MSm3 o.e. of oil, about 21.6 MSm3 o.e. of NGL and condensate and about 108.8 MSm3 o.e. of gas for sale.	Av dette er om lag 84,9 MSm3 o.e olje, om lag 21,6 MSm3 o.e NGL og kondensat, og det er selt om lag 108,8 MSm3 o.e gass.
The discovery was made in 2005 with the drilling of well 35/11-13, and was subsequently appraised by well 35/11-14 in 2006.	Funnet ble gjort i 2005 ved boring av brønn 35/11-13, og senere vurdert med brønn 35/11-14 i 2006.
These are the fourth and fifth exploration wells drilled in production licence 405.	Dette er fjerde og femte letebrønn som er boret i utvinningstillatelse 405.
The proposed development solution is a subsea development with a four-slot well template tied into Heidrun for processing and further export to the Polarled pipeline system and the Nyhamna land facility in Møre og Romsdal county.	Funnet er foreslått bygget ut med en fire-slots bunnramme knyttet opp mot Heidrun for prosessering og videre eksport til rørledningssystemet Polarled og landanlegget Nyhamna i Møre og Romsdal.
Regulatory framework conditions throughout the entire lifecycle, from opening of new exploration acreage to decommissioning fields	Regulatoriske rammevilkår gjennom hele livssyklusen, fra åpning av nytt leteareal til nedstengning av felt
Both Snøhvit and Kristin will be developed using subsea wells.	Både Snøhvit og Kristin er under utbygging og planlegges utbygd med havbunnsbrønner.
The well was drilled within licence 169 B2 about seven kilometres north of the Grane field in the central part of the North Sea, and about 150 kilometres west of Stavanger.	Brønnen er boret innenfor tillatelse 169 B2 om lag sju kilometer nord for Granefeltet i den midtre delen av Nordsjøen og 150 kilometer vest av Stavanger.
The well produced oil with a low gas/oil ratio.	Brønnen produserte en olje med lavt gass/olje-forhold.
These rocks are sometimes released on the seabed far from their origin and can be found scattered across the North Atlantic.	Disse bergartene blir noen ganger sluppet på havbunnen langt unna opphavet og finnes strødd utover Nord-Atlanteren.
The wells were drilled by the semi-submersible drilling facility Ocean Vanguard, which will now proceed to production licence 376 in the North Sea to drill wildcat well 35/6-1 S, where StatoilHydro ASA is the operator.	Brønnene ble boret av den halvt nedsenkbare boreinnretningen Ocean Vanguard, som nå skal til utvinningstillatelse 376 i Nordsjøen for å bore undersøkelsesbrønn 35/6-1 S der StatoilHydro ASA er operatør.
The material which has been dated is mudstone from an open marine environment.	Materialet som er datert, er slamstein fra et åpent marint miljø.
